Symbol,Interval,ARIMA_RMSE,ARIMA_MAE,LSTM_RMSE,LSTM_MAE,LightGBM_RMSE,LightGBM_MAE,XGBoost_RMSE,XGBoost_MAE,RandomForest_RMSE,RandomForest_MAE
XMR-USD,Monthly,141.92033321226666,117.98606618192821,61.62341250519415,46.90676762507512,85.3010172906676,63.082272965237635,47.845563980345005,30.18675842285156,52.87236137835789,33.79856823730469
XMR-USD,Quarterly,128.39981563038353,107.89940051315516,96.29255462934255,75.59862670898436,149.22106389847335,127.58624022634406,97.68348599363,74.55022583007812,98.36015582996538,77.19766186523438
DASH-USD,Weekly,17.341461166456686,10.058558187270888,12.757835551068133,8.237921480272638,6.387037465526921,3.973413663968973,6.816342502315475,4.143971246386331,7.11860971972381,3.694152516561842
DASH-USD,Monthly,13.55083520740434,9.244540435143659,12.673438438780375,10.718757482675407,10.7970990467315,9.5421418058443,14.930656838918907,9.891711807250976,14.93832487180988,8.168177897135417
DASH-USD,Quarterly,30.136493460027967,26.148649703465356,11.215724253187789,10.38330535888672,48.376306552989895,47.11238347103721,22.111828638005633,18.80650863647461,11.813603328644971,9.420756618499755
ZEC-USD,Weekly,173.07745738776578,77.87158775015256,69.28417193557024,31.643781787059346,104.06571613064928,38.20828482781582,91.29992165910532,32.6331982991052,88.51437322428359,31.20307102687775
ZEC-USD,Monthly,180.2894831012206,94.89514255535647,165.64851791381835,100.98608662531926,142.41306041104176,71.55496499788926,107.26328397638395,52.201725514729816,114.35051170248285,54.85076869328817
ZEC-USD,Quarterly,191.23942311449886,104.94372171509539,168.05491248263056,94.4337532043457,172.34714602136168,91.80485837836015,133.12555580111234,72.52096481323242,137.0047187813686,70.40311107254028
SOL-USD,Weekly,39.88529071994836,32.9363966726548,23.91860803724413,18.811287847058527,24.005834227095207,16.640215988908576,16.927852692929687,13.360725784301758,12.431940278714581,9.401093046824137
SOL-USD,Monthly,35.03048049383087,30.926833188496126,34.98950443125592,31.406073350172775,39.63234025306969,30.07126322217628,27.527566604044207,21.851270948137557,29.941797427316175,24.189101290021625
SOL-USD,Quarterly,33.14068302981867,27.660364472737637,48.79072896936259,35.94799041748047,99.29170288275927,94.09306145972675,36.58602809337468,33.93495178222656,31.469394486296913,28.03149835205078
USDS-USD,Weekly,1.7727722874584633,0.33072615935959726,1.7890815645582712,0.5032504527799545,1.6953735082385277,0.354756277786113,1.682814593250211,0.36459373123943806,1.682074906269895,0.36020646844059223
USDS-USD,Monthly,0.021136411203831376,0.019981698907662243,0.008570423902962867,0.0065583671842302915,0.019123719264703472,0.018192590965378674,0.04544518966466358,0.026460498571395874,0.019290085350656128,0.012464082092046747
USDS-USD,Quarterly,,,0.011388445979112814,0.010808746019999186,0.04194751461131623,0.04035442525690258,0.05038901646270067,0.049488464991251625,0.06755951387171097,0.056511363784472156
USDE-USD,Weekly,0.37405006392231943,0.213547522201688,0.3694676811768552,0.30887104624084066,0.31551801724209494,0.24601947105564054,0.2904655254653579,0.15021207137033343,0.3252075860164167,0.20168610540695228
USDE-USD,Monthly,0.1906423513713504,0.13804650522993978,0.21281873456990158,0.18933723866939547,0.19774880891374788,0.13405285902035757,0.342480459388801,0.2648029178380966,0.17487713733488164,0.10942298313333598
USDE-USD,Quarterly,,,0.028194739975200188,0.027159392833709717,0.01352091268341301,0.011416961749394772,0.0341618832527874,0.033238500356674194,0.031167314156781988,0.03111343264579769
OMG-USD,Weekly,0.14606688322573388,0.13055933267111114,0.0627670387764516,0.03775346792135082,0.13107829509607205,0.11757690720297656,0.08451412415353582,0.06688203331496981,0.06067311470855541,0.046789012700319293
OMG-USD,Monthly,0.1512534929810014,0.13619273444411065,0.25797849137410683,0.2519609727538549,0.2863503426810898,0.267407523500334,0.20613919029673375,0.18524305870135624,0.10632120678393638,0.09049493164817492
OMG-USD,Quarterly,2.127633621373705,1.8852037090652705,0.08251218484013445,0.06251998394727706,2.6773778398213577,2.67626252213591,0.42088121759693814,0.41107087582349777,0.3309621144122348,0.3150410020947456
ZRX-USD,Weekly,0.1299621295757677,0.11071223712268878,0.06472071349626034,0.03948045729613695,0.026601319182318804,0.01875839116410097,0.024265117768425794,0.017642429423710658,0.026798963795666784,0.01856336967812644
ZRX-USD,Monthly,0.35447514259162544,0.33567674071962605,0.0788759204012108,0.06255681812763214,0.11477170594669059,0.06926160666413897,0.07347326029607179,0.05174846053123474,0.07657219304876176,0.05257568821310996
ZRX-USD,Quarterly,3.2475361847867608,2.637607414634845,0.10247451609976331,0.07596800029277803,0.2703797865954823,0.24920332525905814,0.11291573455171855,0.1026157170534134,0.12923026209512797,0.09483929720520971
REP-USD,Weekly,0.6588862339493562,0.5565354929111929,0.24178320260139802,0.18834516259490466,0.15709755324918168,0.12886630995251894,0.2141938927638518,0.18010735511779785,0.11818180960805212,0.08164544852480057
REP-USD,Monthly,2.316679844582304,2.0478941001702444,0.41886011081079144,0.3666493067374596,0.6970300485089939,0.5625743018927757,0.28374697413176475,0.20211952924728394,0.2301723103156122,0.14954570893446603
REP-USD,Quarterly,7.279424942742708,6.61177954902773,0.16951841547865135,0.14479113817214964,9.958265767413824,9.956882629896466,1.0491234708770454,0.7383303880691529,1.0519234627085197,0.8809504632949829
UNI-USD,Weekly,0.002038052154507978,0.0020378143202897997,9.272974182536549e-05,8.665042251878831e-05,0.0005956652894930316,0.0004195940985775801,5.5936627017695585e-05,3.688762353704078e-05,5.1262211912419116e-05,1.4898749633565397e-05
UNI-USD,Monthly,0.0003123194514374387,0.0002974357789821241,3.234274197097087e-05,2.9486250544626575e-05,0.0002358080482311811,0.0002147353951843868,0.00017116554833055176,0.00012590241329654909,0.00011640013164092556,5.544076880211762e-05
UNI-USD,Quarterly,0.00012993855180230954,0.00012688584380818264,2.6451297638526708e-05,2.0709681848529726e-05,0.00012032492695000988,0.00011784705386483387,0.00012932826989721523,0.0001270261447643861,6.596522922316776e-05,5.6945998876472005e-05
DCR-USD,Weekly,5.730291179102639,3.6352039565363836,4.111805986871126,2.462279272861168,1.5172998704707858,0.9450728807787326,1.11643850680364,0.7996715666755797,1.1928708532093293,0.8288593346732003
DCR-USD,Monthly,4.205079250463577,3.13027154865653,3.40885330573376,2.8795511539165792,3.1447782766019996,2.423307650780359,5.555665388616397,2.9627410252888997,3.620364123435494,2.014542943318685
DCR-USD,Quarterly,3.52702973501243,2.8283157008912276,3.078747871582188,2.3220893859863283,28.005430709441157,27.8324019181101,7.1469899159355235,5.584860610961914,3.873829332039146,3.1831394691467287
WAVES-USD,Weekly,0.35911290259809125,0.2814935199474814,0.3010866489279199,0.22169545732560705,0.15709562630947524,0.11806154126830039,0.121950291458742,0.0932964285214742,0.11581864417166472,0.09027840234930556
WAVES-USD,Monthly,2.556654292985058,2.3215906968868727,0.8053057276066377,0.7578682578527011,0.7237979995332411,0.6529662970365374,0.31266964019855475,0.25258285999298097,0.3183939970034875,0.24222383542855577
